site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
TR,Freshwater,transient_type,69.69504722081471,7.888838375172039,55.57428034055986,64.0576915831104,69.27968332616659,74.64911559182043,86.724144837066
SF,Euryhaline,transient_type,14.030596832095238,7.56690090621447,2.387014657820295,8.203825067744642,13.121758537806032,18.902373307416127,30.023745811465773
SF,Freshwater,transient_type,15.439636638811125,4.86476297817998,5.609440593092193,12.191161942585566,15.509745711788451,18.92058828267157,24.458537760161988
PL,Amphidromous,transient_type,51.886703792923974,14.722541983349622,24.29229674879275,41.94081587359813,51.17003507057968,61.5224361075962,81.88710187469613
PL,Catadromous,transient_type,38.87456942834207,20.35177185863181,6.1261706677257255,23.23660721790764,36.61848853166789,51.7873610841957,84.42917732221038
PL,Euryhaline,transient_type,51.46168718639406,13.048099822099646,27.444885220203936,42.56126663571453,50.940154468482056,59.41654413044524,79.21959972245284
PL,Freshwater,transient_type,40.93076331601952,5.984745725541511,29.254406272517226,36.90349222123311,40.87497507698771,44.9034724861553,52.65927455817009
PD,Amphidromous,transient_type,19.37422629942607,12.47716659521705,3.0580635549491615,10.428487928273455,16.946346757867232,25.4910633948115,49.88538187632373
PD,Freshwater,transient_type,28.946667475270836,5.005096893277532,19.4611027743496,25.561817241021263,28.924958348768804,32.33195791519933,38.854487247646915
MR,Amphidromous,transient_type,30.787423244146613,25.5152556885981,1.9998435747777086,9.249320086562905,21.83665760171472,49.52425127278781,87.14518368228899
MR,Freshwater,transient_type,7.2882292923278,4.316195255705648,1.2180653824292216,3.9688049507292824,6.596204583598239,9.750826730813511,17.433090003447724
LN,Amphidromous,transient_type,71.22262524012565,11.753427958282572,48.56371789688507,62.96169462999088,71.1536862126861,79.71272392799303,93.48265901402998
LN,Catadromous,transient_type,65.72223619426524,16.709225522623093,31.29706351650765,54.77696571474233,66.26282955748773,78.11364507286332,94.46725634496119
LN,Euryhaline,transient_type,59.25762926353899,10.444634707925953,40.47693512926151,52.19052234034417,58.61553538233992,65.72536650893707,81.07544840278237
LN,Freshwater,transient_type,44.71017018035568,19.61593947338233,9.950696469404132,30.678379545830325,43.30654866780006,57.780859080101635,86.21708882048695
GC,Amphidromous,transient_type,6.999911688404491,4.135699565650146,1.1159962081947297,3.855935772002572,6.2577646186114055,9.38747877661904,16.56721891236804
GC,Freshwater,transient_type,2.3476133402544996,1.3224711554383681,0.4988954217319211,1.3406787791844712,2.094829791843696,3.081744888868944,5.5444577857427015
EM,Amphidromous,transient_type,18.207638554839427,10.732011339488428,3.098319467677614,10.137280285915528,16.61402923351608,24.204185245245753,43.261321893334745
EM,Freshwater,transient_type,27.71495651741634,4.804821816456589,18.017201731376208,24.492937658956134,27.810954063668326,30.89580074522354,37.147119319622504
AR,Freshwater,transient_type,16.86767674175893,3.671042765605358,9.216089420428759,14.508955966400567,16.998176893019295,19.32426031741268,23.784638858700617
WM,affinis,species,15.15914590235522,7.985213533825895,2.7736461418321636,9.088316870164833,14.330730466022606,20.03573020266912,32.81874111444303
WM,clarkii,species,12.908596054835161,7.003177067322164,2.336193789990102,7.608189474376706,12.038687275251004,17.12697456129871,29.550042966919175
WM,cyanellus,species,13.482758470488914,6.222846793210481,2.8281935718884705,8.862879538793363,13.083129599150695,17.556676750595493,26.52230137095356
WM,gracile,species,13.8529599297733,7.638441410918598,2.4258415152187482,7.947987276586213,12.930122205978284,18.558309857365987,30.8283281653594
WM,gulosus,species,23.029921313970835,11.561472690950723,4.455596099761048,14.329785204725184,22.07359736026139,30.223009886026773,48.07534246829337
WM,humilis,species,21.198111312637273,14.170742357878376,3.2902050239438236,11.222812611812687,18.336906779248455,27.47396258559712,56.52541818398545
