site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
UN,Amphidromous,transient_type,32.48953760577539,12.997251843303884,8.955640463727079,23.556568867424012,31.829918434801268,40.64444668557745,60.94248279434954
UN,Freshwater,transient_type,31.347312875277293,8.184860350222108,15.829539903301018,25.75425087855811,31.240913550627347,36.62831611605641,47.944765586197995
TR,Euryhaline,transient_type,89.95994402255836,5.008649530833849,78.68085852582166,86.68366587103444,90.43244461300536,93.82784628978497,97.98636512201931
TR,Freshwater,transient_type,83.71380931458187,6.7031873181128505,70.23923956118261,79.19456722460987,83.84289545043428,88.50599335395,95.87008102972868
SF,Euryhaline,transient_type,10.661365742288838,5.774169693530267,2.1711534834373136,6.417738988197722,9.972273041792326,13.950030331590273,23.937695689041508
SF,Freshwater,transient_type,18.35767448257867,3.2623424189380175,12.196366646198756,16.17103839986704,18.232752828511334,20.450999351984724,25.02776989677328
PL,Amphidromous,transient_type,44.90919038478099,17.465551705702488,16.44130253831693,32.310830889829404,42.81926799636734,55.69654337585018,84.59505271613878
PL,Catadromous,transient_type,35.472123524935824,22.95641343481543,4.542579347967648,16.869214017481756,30.911993508728443,50.622358684312964,87.32109180437013
PL,Euryhaline,transient_type,41.09373000256923,15.234839193625751,15.809899972153305,30.168892102432622,39.335198048118464,50.16240442019184,76.04565107314438
PL,Freshwater,transient_type,29.21221356265021,6.409737974029313,18.085407607473755,24.75658464224577,28.736457184763893,33.09724020210741,42.716037503097624
PD,Amphidromous,transient_type,14.196159300649796,11.769314743948367,1.9717755095430747,6.605255636868884,11.259592123325962,18.01896702487361,46.259493677562496
PD,Freshwater,transient_type,10.769664265257934,4.415004225562491,2.837771648912447,7.627593988640571,10.614047694058641,13.69638323905719,19.999672100397834
MR,Amphidromous,transient_type,44.91967083035816,27.850556208379313,2.8226688668606887,20.227321279960933,42.81717428371251,69.24048187736673,92.87134018283571
MR,Freshwater,transient_type,4.595084607230338,2.8232204533355065,0.834952651187334,2.4726204537978678,4.04799664948784,6.081038635315619,11.514886376553969
LN,Amphidromous,transient_type,70.75133434820432,14.532714954857543,39.33367242910683,61.456288414446846,71.9287658856458,81.84386299776135,94.49170274409565
LN,Catadromous,transient_type,59.39933201505665,22.58387097689745,11.135889403448916,44.95666660730053,61.75585274927315,77.02561450630496,94.48993524799769
LN,Euryhaline,transient_type,58.72890735527878,17.280958214104423,22.846202033969192,47.628901959104844,59.249505327362414,70.98904133792625,90.84038326843742
LN,Freshwater,transient_type,47.31896463673002,23.339476042603007,7.011149315612491,28.856878207822657,46.1814068555767,64.47555811394679,91.78205384636453
GC,Amphidromous,transient_type,6.632333163318181,4.204402454787434,1.2100896820343936,3.5925502578743176,5.722973670499124,8.728638967831738,16.892428398078955
GC,Freshwater,transient_type,2.8816579647479372,1.468142414976504,0.6997896296620331,1.7840586299088905,2.6539752487925163,3.746494386774563,6.322139695709563
EM,Amphidromous,transient_type,14.130516768740629,11.948261888513992,1.621867714608685,5.65279773877619,10.663366689374143,19.035766634111813,46.4598725805877
EM,Freshwater,transient_type,22.4279194337826,2.813427236358526,17.392935778991383,20.450185412600952,22.23857953936576,24.18151131491163,28.516021112037993
AR,Freshwater,transient_type,5.953744376191147,1.5996343463121392,2.9926643749393493,4.888226014880523,5.907636011526114,6.996566425389821,9.279655863917501
WM,affinis,species,13.678533340603693,8.20398087947461,2.220417803993613,7.6706261998316645,12.166354561446191,18.126504647675404,33.38468693165343
WM,clarkii,species,11.562409654842574,7.829380875456317,1.8311835580936304,5.893102611053356,9.919089309084313,15.212347237351498,31.18845872973926
WM,cyanellus,species,11.321240129127512,5.718298690316377,2.439128750194761,7.09680635072667,10.569812984809236,14.710958396817004,24.208959561107456
WM,gracile,species,12.92049261432485,8.981197921905201,1.8771770369442171,6.594012445270009,10.88182219925263,16.668271030098815,35.8065791143737
WM,gulosus,species,21.48668458545491,11.756888116767454,4.103650369067136,12.981574486625208,19.83447288479944,27.732223588001382,49.6558743665003
WM,humilis,species,21.406122092574538,16.321081582404833,2.695710763435219,10.12223851680632,17.10269368198451,27.746413040267377,67.4558732832667
WM,macrochirus,species,12.522033493007845,5.41466738941687,3.376157192414163,8.621266023238233,12.082363220604513,15.896441725869293,24.387263318032996
